City,Crime Description,Victim Gender,Weapon Used,Latitude,Longitude,Year
Kolkata,SEXUAL ASSAULT,M,Blunt Object,22.5675,88.37,2020
Hyderabad,IDENTITY THEFT,F,Explosives,17.3617,78.4747,2020
Hyderabad,DRUG OFFENSE,F,Other,17.3617,78.4747,2020
Ahmedabad,PUBLIC INTOXICATION,F,Knife,23.0219,72.5797,2020
Mumbai,EXTORTION,F,Explosives,19.0758,72.8775,2020
Kanpur,ASSAULT,F,Other,26.4725,80.3311,2020
Mumbai,VEHICLE - STOLEN,F,Poison,19.0758,72.8775,2020
Lucknow,FRAUD,F,Blunt Object,26.847,80.947,2020
Hyderabad,VEHICLE - STOLEN,F,Unknown,17.3617,78.4747,2020
Lucknow,DOMESTIC VIOLENCE,F,Blunt Object,26.847,80.947,2020
Bangalore,ARSON,F,Poison,12.9791,77.5913,2020
Chennai,PUBLIC INTOXICATION,F,Blunt Object,13.0825,80.275,2020
Delhi,ARSON,F,Other,28.66,77.23,2020
Visakhapatnam,ILLEGAL POSSESSION,F,Explosives,17.6939,83.2922,2020
Delhi,COUNTERFEITING,F,Unknown,28.66,77.23,2020
Bangalore,HOMICIDE,F,Knife,12.9791,77.5913,2020
Surat,EXTORTION,M,Poison,21.205,72.84,2020
Pune,FIREARM OFFENSE,F,Blunt Object,18.5211,73.8553,2020
Mumbai,BURGLARY,F,Knife,19.0758,72.8775,2020
Lucknow,VANDALISM,M,Poison,26.847,80.947,2020
Delhi,DRUG OFFENSE,M,Explosives,28.66,77.23,2020
Mumbai,ILLEGAL POSSESSION,M,Poison,19.0758,72.8775,2020
Pune,TRAFFIC VIOLATION,M,Unknown,18.5211,73.8553,2020
Ahmedabad,VEHICLE - STOLEN,F,Firearm,23.0219,72.5797,2020
Delhi,KIDNAPPING,F,Other,28.66,77.23,2020
Bhopal,VANDALISM,F,Unknown,23.2547,77.4029,2020
Ludhiana,SEXUAL ASSAULT,F,Blunt Object,30.912,75.8538,2020
Pune,FRAUD,M,Knife,18.5211,73.8553,2020
Pune,ASSAULT,F,Unknown,18.5211,73.8553,2020
Surat,FIREARM OFFENSE,F,Unknown,21.205,72.84,2020
Ghaziabad,IDENTITY THEFT,F,Knife,28.6667,77.4167,2020
Kanpur,SHOPLIFTING,M,Explosives,26.4725,80.3311,2020
Ghaziabad,ROBBERY,M,Other,28.6667,77.4167,2020
Agra,ARSON,F,Poison,27.1767,78.0081,2020
Lucknow,IDENTITY THEFT,F,Knife,26.847,80.947,2020
Bangalore,HOMICIDE,M,Unknown,12.9791,77.5913,2020
Lucknow,ILLEGAL POSSESSION,F,Knife,26.847,80.947,2020
Delhi,VANDALISM,F,Other,28.66,77.23,2020
Delhi,FRAUD,F,Other,28.66,77.23,2020
Ahmedabad,PUBLIC INTOXICATION,F,Explosives,23.0219,72.5797,2020
Mumbai,ASSAULT,M,Blunt Object,19.0758,72.8775,2020
Kanpur,KIDNAPPING,F,Other,26.4725,80.3311,2020
Jaipur,CYBERCRIME,F,Firearm,26.915,75.82,2020
Delhi,DOMESTIC VIOLENCE,F,Other,28.66,77.23,2020
Mumbai,FIREARM OFFENSE,F,Blunt Object,19.0758,72.8775,2020
Mumbai,ILLEGAL POSSESSION,F,Unknown,19.0758,72.8775,2020
Varanasi,ASSAULT,F,Firearm,25.3176,82.9739,2020
Ludhiana,IDENTITY THEFT,M,Firearm,30.912,75.8538,2020
Kolkata,PUBLIC INTOXICATION,F,Knife,22.5675,88.37,2020
Meerut,CYBERCRIME,F,Other,28.9845,77.7064,2020
Bangalore,COUNTERFEITING,F,Knife,12.9791,77.5913,2020
Agra,IDENTITY THEFT,F,Unknown,27.1767,78.0081,2020
Patna,SHOPLIFTING,F,Knife,25.61,85.1414,2020
Bhopal,DRUG OFFENSE,F,Blunt Object,23.2547,77.4029,2020
Bangalore,ILLEGAL POSSESSION,M,Unknown,12.9791,77.5913,2020
Delhi,IDENTITY THEFT,F,Knife,28.66,77.23,2020
Chennai,KIDNAPPING,F,Other,13.0825,80.275,2020
Bangalore,DOMESTIC VIOLENCE,F,Blunt Object,12.9791,77.5913,2020
Pune,DOMESTIC VIOLENCE,F,Blunt Object,18.5211,73.8553,2020
Hyderabad,COUNTERFEITING,F,Other,17.3617,78.4747,2020
Ahmedabad,HOMICIDE,F,Firearm,23.0219,72.5797,2020
Delhi,VEHICLE - STOLEN,F,Poison,28.66,77.23,2020
Kolkata,ASSAULT,F,Blunt Object,22.5675,88.37,2020
Meerut,COUNTERFEITING,F,Knife,28.9845,77.7064,2020
Surat,CYBERCRIME,F,Unknown,21.205,72.84,2020
Pune,SHOPLIFTING,F,Knife,18.5211,73.8553,2020
Pune,ARSON,F,Firearm,18.5211,73.8553,2020
Ghaziabad,SEXUAL ASSAULT,F,Firearm,28.6667,77.4167,2020
Ahmedabad,VANDALISM,M,Firearm,23.0219,72.5797,2020
Delhi,VANDALISM,M,Explosives,28.66,77.23,2020
Delhi,FRAUD,F,Firearm,28.66,77.23,2020
Lucknow,DRUG OFFENSE,F,Blunt Object,26.847,80.947,2020
Kalyan,TRAFFIC VIOLATION,F,Knife,19.2437,73.1355,2020
Agra,COUNTERFEITING,M,Unknown,27.1767,78.0081,2020
Jaipur,TRAFFIC VIOLATION,M,Poison,26.915,75.82,2020
Hyderabad,SEXUAL ASSAULT,F,Blunt Object,17.3617,78.4747,2020
Indore,DRUG OFFENSE,F,Unknown,22.7196,75.8577,2020
Surat,ROBBERY,M,Blunt Object,21.205,72.84,2020
Lucknow,BURGLARY,F,Unknown,26.847,80.947,2020
Chennai,FIREARM OFFENSE,F,Firearm,13.0825,80.275,2020
Mumbai,ILLEGAL POSSESSION,F,Unknown,19.0758,72.8775,2020
Agra,FRAUD,F,Knife,27.1767,78.0081,2020
Pune,DOMESTIC VIOLENCE,M,Blunt Object,18.5211,73.8553,2020
Bangalore,TRAFFIC VIOLATION,F,Poison,12.9791,77.5913,2020
Mumbai,CYBERCRIME,F,Poison,19.0758,72.8775,2020
Ahmedabad,SEXUAL ASSAULT,F,Firearm,23.0219,72.5797,2020
Hyderabad,SEXUAL ASSAULT,F,Unknown,17.3617,78.4747,2020
Mumbai,FRAUD,F,Other,19.0758,72.8775,2020
Bangalore,FRAUD,F,Other,12.9791,77.5913,2020
Delhi,VANDALISM,F,Blunt Object,28.66,77.23,2020
Nagpur,IDENTITY THEFT,F,Unknown,21.1497,79.0806,2020
Hyderabad,EXTORTION,F,Knife,17.3617,78.4747,2020
Chennai,CYBERCRIME,M,Explosives,13.0825,80.275,2020
Chennai,KIDNAPPING,F,Knife,13.0825,80.275,2020
Delhi,IDENTITY THEFT,M,Blunt Object,28.66,77.23,2020
Ghaziabad,PUBLIC INTOXICATION,F,Unknown,28.6667,77.4167,2020
Jaipur,DOMESTIC VIOLENCE,M,Unknown,26.915,75.82,2020
Delhi,ILLEGAL POSSESSION,F,Poison,28.66,77.23,2020
Lucknow,DOMESTIC VIOLENCE,M,Other,26.847,80.947,2020
Ahmedabad,PUBLIC INTOXICATION,M,Explosives,23.0219,72.5797,2020
Hyderabad,EXTORTION,F,Explosives,17.3617,78.4747,2020
Delhi,ARSON,F,Firearm,28.66,77.23,2020
Nashik,HOMICIDE,F,Blunt Object,19.9975,73.7898,2020
Srinagar,COUNTERFEITING,F,Blunt Object,34.0837,74.7974,2020
Nagpur,FRAUD,M,Explosives,21.1497,79.0806,2020
Mumbai,DRUG OFFENSE,F,Blunt Object,19.0758,72.8775,2020
Lucknow,KIDNAPPING,F,Firearm,26.847,80.947,2020
Hyderabad,SHOPLIFTING,F,Other,17.3617,78.4747,2020
Thane,VEHICLE - STOLEN,F,Unknown,19.2183,72.9781,2020
Bangalore,COUNTERFEITING,F,Blunt Object,12.9791,77.5913,2020
Patna,ASSAULT,M,Unknown,25.61,85.1414,2020
Hyderabad,EXTORTION,F,Explosives,17.3617,78.4747,2020
Kolkata,PUBLIC INTOXICATION,F,Knife,22.5675,88.37,2020
Bhopal,COUNTERFEITING,M,Explosives,23.2547,77.4029,2020
Delhi,FIREARM OFFENSE,M,Blunt Object,28.66,77.23,2020
Kolkata,IDENTITY THEFT,F,Firearm,22.5675,88.37,2020
Bangalore,VEHICLE - STOLEN,M,Explosives,12.9791,77.5913,2020
Delhi,SEXUAL ASSAULT,M,Explosives,28.66,77.23,2020
Ahmedabad,SHOPLIFTING,F,Knife,23.0219,72.5797,2020
Kolkata,COUNTERFEITING,M,Unknown,22.5675,88.37,2020
Surat,FRAUD,F,Other,21.205,72.84,2020
Pune,TRAFFIC VIOLATION,M,Other,18.5211,73.8553,2020
Nagpur,BURGLARY,F,Knife,21.1497,79.0806,2020
Kolkata,VEHICLE - STOLEN,F,Unknown,22.5675,88.37,2020
Ludhiana,KIDNAPPING,F,Poison,30.912,75.8538,2020
Bangalore,FRAUD,F,Poison,12.9791,77.5913,2020
Chennai,ROBBERY,F,Knife,13.0825,80.275,2020
Bangalore,CYBERCRIME,F,Firearm,12.9791,77.5913,2020
Surat,HOMICIDE,F,Explosives,21.205,72.84,2020
Mumbai,VANDALISM,F,Poison,19.0758,72.8775,2020
Pune,COUNTERFEITING,F,Blunt Object,18.5211,73.8553,2020
Jaipur,VEHICLE - STOLEN,F,Other,26.915,75.82,2020
Ahmedabad,VANDALISM,M,Poison,23.0219,72.5797,2020
Pune,IDENTITY THEFT,M,Blunt Object,18.5211,73.8553,2020
Patna,ARSON,F,Unknown,25.61,85.1414,2020
Mumbai,HOMICIDE,F,Other,19.0758,72.8775,2020
Kolkata,ASSAULT,M,Poison,22.5675,88.37,2020
Mumbai,TRAFFIC VIOLATION,F,Firearm,19.0758,72.8775,2020
Ludhiana,ARSON,M,Poison,30.912,75.8538,2020
Visakhapatnam,CYBERCRIME,M,Other,17.6939,83.2922,2020
Chennai,CYBERCRIME,M,Knife,13.0825,80.275,2020
Delhi,FIREARM OFFENSE,M,Knife,28.66,77.23,2020
Hyderabad,FIREARM OFFENSE,F,Knife,17.3617,78.4747,2020
Mumbai,COUNTERFEITING,F,Other,19.0758,72.8775,2020
Bangalore,VANDALISM,F,Blunt Object,12.9791,77.5913,2020
Pune,FRAUD,F,Knife,18.5211,73.8553,2020
Kalyan,SEXUAL ASSAULT,F,Poison,19.2437,73.1355,2020
Nagpur,ROBBERY,F,Firearm,21.1497,79.0806,2020
Kolkata,ILLEGAL POSSESSION,F,Knife,22.5675,88.37,2020
Nagpur,EXTORTION,F,Blunt Object,21.1497,79.0806,2020
Ahmedabad,IDENTITY THEFT,F,Explosives,23.0219,72.5797,2020
Thane,DOMESTIC VIOLENCE,F,Explosives,19.2183,72.9781,2020
Nagpur,EXTORTION,F,Other,21.1497,79.0806,2020
Delhi,FIREARM OFFENSE,F,Other,28.66,77.23,2020
Thane,SHOPLIFTING,F,Firearm,19.2183,72.9781,2020
Hyderabad,TRAFFIC VIOLATION,M,Other,17.3617,78.4747,2020
Nashik,ILLEGAL POSSESSION,M,Unknown,19.9975,73.7898,2020
Meerut,FIREARM OFFENSE,M,Explosives,28.9845,77.7064,2020
Kolkata,PUBLIC INTOXICATION,M,Explosives,22.5675,88.37,2020
Hyderabad,EXTORTION,M,Blunt Object,17.3617,78.4747,2020
Ahmedabad,IDENTITY THEFT,F,Other,23.0219,72.5797,2020
Mumbai,EXTORTION,M,Poison,19.0758,72.8775,2020
Indore,KIDNAPPING,F,Firearm,22.7196,75.8577,2020
Chennai,BURGLARY,F,Unknown,13.0825,80.275,2020
Ghaziabad,COUNTERFEITING,M,Blunt Object,28.6667,77.4167,2020
Kolkata,IDENTITY THEFT,F,Poison,22.5675,88.37,2020
Kanpur,SEXUAL ASSAULT,F,Knife,26.4725,80.3311,2020
Visakhapatnam,COUNTERFEITING,F,Blunt Object,17.6939,83.2922,2020
Chennai,IDENTITY THEFT,F,Explosives,13.0825,80.275,2020
Nagpur,ILLEGAL POSSESSION,F,Explosives,21.1497,79.0806,2020
Kanpur,KIDNAPPING,F,Knife,26.4725,80.3311,2020
Surat,ROBBERY,M,Other,21.205,72.84,2020
Srinagar,SHOPLIFTING,M,Explosives,34.0837,74.7974,2020
Indore,DRUG OFFENSE,M,Blunt Object,22.7196,75.8577,2020
Hyderabad,PUBLIC INTOXICATION,F,Knife,17.3617,78.4747,2020
Delhi,IDENTITY THEFT,M,Other,28.66,77.23,2020
Bangalore,VEHICLE - STOLEN,F,Unknown,12.9791,77.5913,2020
Bhopal,TRAFFIC VIOLATION,M,Blunt Object,23.2547,77.4029,2020
Ahmedabad,ASSAULT,M,Other,23.0219,72.5797,2020
Indore,ASSAULT,F,Poison,22.7196,75.8577,2020
Bhopal,TRAFFIC VIOLATION,F,Knife,23.2547,77.4029,2020
Chennai,TRAFFIC VIOLATION,M,Knife,13.0825,80.275,2020
Ludhiana,KIDNAPPING,F,Blunt Object,30.912,75.8538,2020
Srinagar,FIREARM OFFENSE,F,Poison,34.0837,74.7974,2020
Ludhiana,FRAUD,F,Other,30.912,75.8538,2020
Ludhiana,BURGLARY,F,Blunt Object,30.912,75.8538,2020
Mumbai,ARSON,F,Unknown,19.0758,72.8775,2020
Indore,ASSAULT,F,Blunt Object,22.7196,75.8577,2020
Mumbai,SHOPLIFTING,M,Other,19.0758,72.8775,2020
Pune,VEHICLE - STOLEN,F,Explosives,18.5211,73.8553,2020
Bangalore,IDENTITY THEFT,F,Firearm,12.9791,77.5913,2020
Chennai,ILLEGAL POSSESSION,F,Blunt Object,13.0825,80.275,2020
Ahmedabad,EXTORTION,F,Other,23.0219,72.5797,2020
Chennai,SHOPLIFTING,F,Explosives,13.0825,80.275,2020
Chennai,BURGLARY,F,Poison,13.0825,80.275,2020
Thane,BURGLARY,M,Poison,19.2183,72.9781,2020
Chennai,ASSAULT,F,Blunt Object,13.0825,80.275,2020
Bangalore,DOMESTIC VIOLENCE,M,Poison,12.9791,77.5913,2020
Kolkata,VANDALISM,M,Other,22.5675,88.37,2020
Delhi,TRAFFIC VIOLATION,M,Explosives,28.66,77.23,2020
Kolkata,IDENTITY THEFT,M,Explosives,22.5675,88.37,2020
Srinagar,SEXUAL ASSAULT,F,Other,34.0837,74.7974,2020
Nagpur,ROBBERY,F,Blunt Object,21.1497,79.0806,2020
Jaipur,IDENTITY THEFT,M,Unknown,26.915,75.82,2020
Chennai,ARSON,F,Unknown,13.0825,80.275,2020
Kanpur,DOMESTIC VIOLENCE,F,Blunt Object,26.4725,80.3311,2020
Kalyan,PUBLIC INTOXICATION,F,Unknown,19.2437,73.1355,2020
Pune,TRAFFIC VIOLATION,F,Knife,18.5211,73.8553,2020
Faridabad,FIREARM OFFENSE,M,Poison,28.4089,77.3178,2020
Kanpur,TRAFFIC VIOLATION,F,Firearm,26.4725,80.3311,2020
Indore,COUNTERFEITING,F,Other,22.7196,75.8577,2020
Bangalore,SEXUAL ASSAULT,M,Firearm,12.9791,77.5913,2020
Ahmedabad,DOMESTIC VIOLENCE,F,Poison,23.0219,72.5797,2020
Delhi,DRUG OFFENSE,F,Unknown,28.66,77.23,2020
Kolkata,ARSON,F,Firearm,22.5675,88.37,2020
Bangalore,DRUG OFFENSE,F,Firearm,12.9791,77.5913,2020
Bangalore,ASSAULT,F,Firearm,12.9791,77.5913,2020
Kanpur,BURGLARY,M,Poison,26.4725,80.3311,2020
Delhi,BURGLARY,M,Other,28.66,77.23,2020
Mumbai,DOMESTIC VIOLENCE,F,Knife,19.0758,72.8775,2020
Nashik,COUNTERFEITING,M,Unknown,19.9975,73.7898,2020
Lucknow,VANDALISM,F,Other,26.847,80.947,2020
Bangalore,ARSON,M,Knife,12.9791,77.5913,2020
Pune,FRAUD,M,Poison,18.5211,73.8553,2020
Kolkata,TRAFFIC VIOLATION,M,Unknown,22.5675,88.37,2020
Bangalore,ARSON,F,Explosives,12.9791,77.5913,2020
Mumbai,FRAUD,M,Knife,19.0758,72.8775,2020
Bangalore,SHOPLIFTING,F,Explosives,12.9791,77.5913,2020
Visakhapatnam,VANDALISM,F,Explosives,17.6939,83.2922,2020
Patna,ROBBERY,F,Poison,25.61,85.1414,2020
Bangalore,BURGLARY,M,Firearm,12.9791,77.5913,2020
Mumbai,ARSON,M,Knife,19.0758,72.8775,2020
Surat,DRUG OFFENSE,F,Other,21.205,72.84,2020
Delhi,ARSON,F,Poison,28.66,77.23,2020
Delhi,ILLEGAL POSSESSION,M,Knife,28.66,77.23,2020
Mumbai,COUNTERFEITING,M,Explosives,19.0758,72.8775,2020
Hyderabad,VANDALISM,M,Unknown,17.3617,78.4747,2020
Bangalore,SHOPLIFTING,F,Poison,12.9791,77.5913,2020
Ahmedabad,SHOPLIFTING,F,Unknown,23.0219,72.5797,2020
Delhi,COUNTERFEITING,F,Other,28.66,77.23,2020
Faridabad,SEXUAL ASSAULT,M,Other,28.4089,77.3178,2020
Kanpur,DOMESTIC VIOLENCE,F,Unknown,26.4725,80.3311,2020
Ahmedabad,PUBLIC INTOXICATION,F,Knife,23.0219,72.5797,2020
Pune,ROBBERY,F,Knife,18.5211,73.8553,2020
Delhi,KIDNAPPING,F,Blunt Object,28.66,77.23,2020
Pune,CYBERCRIME,M,Firearm,18.5211,73.8553,2020
Ghaziabad,ASSAULT,F,Unknown,28.6667,77.4167,2020
Meerut,SEXUAL ASSAULT,F,Firearm,28.9845,77.7064,2020
Delhi,BURGLARY,M,Firearm,28.66,77.23,2020
Mumbai,DOMESTIC VIOLENCE,F,Other,19.0758,72.8775,2020
Delhi,ILLEGAL POSSESSION,M,Knife,28.66,77.23,2020
Lucknow,TRAFFIC VIOLATION,F,Unknown,26.847,80.947,2020
Bangalore,PUBLIC INTOXICATION,F,Poison,12.9791,77.5913,2020
Pune,VEHICLE - STOLEN,F,Firearm,18.5211,73.8553,2020
Mumbai,CYBERCRIME,F,Blunt Object,19.0758,72.8775,2020
Delhi,ILLEGAL POSSESSION,F,Explosives,28.66,77.23,2020
Vasai,EXTORTION,F,Explosives,19.3931,72.8617,2020
Nashik,HOMICIDE,F,Other,19.9975,73.7898,2020
Pune,BURGLARY,F,Poison,18.5211,73.8553,2020
Delhi,CYBERCRIME,M,Knife,28.66,77.23,2020
Lucknow,DRUG OFFENSE,F,Firearm,26.847,80.947,2020
Lucknow,ASSAULT,F,Other,26.847,80.947,2020
Kolkata,BURGLARY,F,Explosives,22.5675,88.37,2020
Meerut,ILLEGAL POSSESSION,M,Knife,28.9845,77.7064,2020
Ludhiana,CYBERCRIME,F,Poison,30.912,75.8538,2020
Jaipur,ILLEGAL POSSESSION,F,Firearm,26.915,75.82,2020
Nagpur,KIDNAPPING,F,Unknown,21.1497,79.0806,2020
Jaipur,IDENTITY THEFT,F,Unknown,26.915,75.82,2020
Nagpur,FRAUD,M,Unknown,21.1497,79.0806,2020
Nashik,ILLEGAL POSSESSION,M,Knife,19.9975,73.7898,2020
Chennai,KIDNAPPING,M,Unknown,13.0825,80.275,2020
Indore,ILLEGAL POSSESSION,F,Explosives,22.7196,75.8577,2020
Bangalore,COUNTERFEITING,M,Poison,12.9791,77.5913,2020
Ghaziabad,EXTORTION,F,Knife,28.6667,77.4167,2020
Delhi,FIREARM OFFENSE,F,Knife,28.66,77.23,2020
Delhi,SEXUAL ASSAULT,F,Blunt Object,28.66,77.23,2020
Meerut,DOMESTIC VIOLENCE,F,Other,28.9845,77.7064,2020
Delhi,DRUG OFFENSE,F,Other,28.66,77.23,2020
Lucknow,BURGLARY,F,Blunt Object,26.847,80.947,2020
Indore,BURGLARY,M,Blunt Object,22.7196,75.8577,2020
Mumbai,BURGLARY,F,Unknown,19.0758,72.8775,2020
Delhi,DRUG OFFENSE,F,Knife,28.66,77.23,2020
Ghaziabad,DRUG OFFENSE,F,Blunt Object,28.6667,77.4167,2020
Surat,IDENTITY THEFT,F,Blunt Object,21.205,72.84,2020
Mumbai,IDENTITY THEFT,F,Poison,19.0758,72.8775,2020
Kanpur,SEXUAL ASSAULT,F,Other,26.4725,80.3311,2020
Thane,ILLEGAL POSSESSION,F,Explosives,19.2183,72.9781,2020
Pune,COUNTERFEITING,M,Poison,18.5211,73.8553,2020
Mumbai,IDENTITY THEFT,F,Firearm,19.0758,72.8775,2020
Indore,COUNTERFEITING,F,Poison,22.7196,75.8577,2020
Rajkot,TRAFFIC VIOLATION,F,Poison,22.2969,70.7984,2020
Pune,IDENTITY THEFT,F,Other,18.5211,73.8553,2020
Nagpur,COUNTERFEITING,M,Explosives,21.1497,79.0806,2020
Delhi,COUNTERFEITING,F,Firearm,28.66,77.23,2020
Delhi,ILLEGAL POSSESSION,F,Knife,28.66,77.23,2020
Lucknow,VEHICLE - STOLEN,M,Poison,26.847,80.947,2020
Mumbai,CYBERCRIME,M,Other,19.0758,72.8775,2020
Ahmedabad,SHOPLIFTING,F,Other,23.0219,72.5797,2020
Delhi,DOMESTIC VIOLENCE,F,Explosives,28.66,77.23,2020
Chennai,BURGLARY,M,Explosives,13.0825,80.275,2020
Jaipur,ROBBERY,F,Firearm,26.915,75.82,2020
Kanpur,COUNTERFEITING,F,Explosives,26.4725,80.3311,2020
